opcode 580, rd 28, rt 28, rn 28, rm 0, shamt 48, aluimm 48, dtaddr 12, condaddr 1564, braddr 16827292
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 180, rd 1, rt 1, rn 10, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 10, braddr 321
opcode 1691, rd 10, rt 10, rn 9, rm 0, shamt 3, aluimm -2045, dtaddr 0, condaddr 196713, braddr -10482390
opcode 1112, rd 10, rt 10, rn 0, rm 10, shamt 0, aluimm 640, dtaddr 160, condaddr 20480, braddr -16121846
opcode 1624, rd 11, rt 11, rn 1, rm 9, shamt 0, aluimm 576, dtaddr 144, condaddr 18433, braddr -16187349
opcode 836, rd 11, rt 11, rn 11, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 43, braddr 16778603
opcode 1984, rd 11, rt 11, rn 10, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 10, braddr 331
opcode 580, rd 9, rt 9, rn 9, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 41, braddr 16778537
opcode 1880, rd 31, rt 31, rn 9, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2057, braddr -16711361
opcode 84, rd 10, rt 10, rn 2, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 2, braddr 74
opcode 5, rd 24, rt 24, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -8
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 1880, rd 31, rt 31, rn 2, rm 1, shamt 0, aluimm 64, dtaddr 16, condaddr 2050, braddr -16711585
opcode 84, rd 11, rt 11, rn 13, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 13, braddr 427
opcode 1112, rd 10, rt 10, rn 1, rm 2, shamt 0, aluimm 128, dtaddr 32, condaddr 4097, braddr -16646102
opcode 1690, rd 9, rt 9, rn 10, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 131114, braddr -12581559
opcode 1112, rd 11, rt 11, rn 0, rm 9, shamt 0, aluimm 576, dtaddr 144, condaddr 18432, braddr -16187381
opcode 1624, rd 12, rt 12, rn 11, rm 3, shamt 0, aluimm 192, dtaddr 48, condaddr 6155, braddr -16580244
opcode 180, rd 12, rt 12, rn 10, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 10, braddr 332
opcode 1880, rd 31, rt 31, rn 11, rm 3, shamt 0, aluimm 192, dtaddr 48, condaddr 6155, braddr -16580225
opcode 84, rd 12, rt 12, rn 2, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 2, braddr 76
opcode 5, rd 3, rt 3, rn 0, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 0, braddr 3
opcode 836, rd 2, rt 2, rn 9, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 41, braddr 16778530
opcode 5, rd 21, rt 21, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -11
opcode 580, rd 1, rt 1, rn 9, rm 0, shamt 1, aluimm 1, dtaddr 0, condaddr 41, braddr 16778529
opcode 5, rd 19, rt 19, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -13
opcode 580, rd 0, rt 0, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr 131071, braddr 20971488
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 580, rd 0, rt 0, rn 9, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 9, braddr 16777504
opcode 1712, rd 0, rt 0, rn 30, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 30, braddr -33553472
opcode 580, rd 1, rt 1, rn 31, rm 28, shamt 16, aluimm 1808, dtaddr -60, condaddr 57887, braddr 18629601
opcode 836, rd 28, rt 28, rn 28, rm 0, shamt 8, aluimm 8, dtaddr 2, condaddr 284, braddr 16786332
opcode 1984, rd 1, rt 1, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 897
opcode 37, rd 0, rt 0, rn 31, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -1, braddr -32
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195201
opcode 580, rd 28, rt 28, rn 28, rm 0, shamt 8, aluimm 8, dtaddr 2, condaddr 284, braddr 16786332
opcode 836, rd 28, rt 28, rn 28, rm 0, shamt 16, aluimm 16, dtaddr 4, condaddr 540, braddr 16794524
opcode 1984, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 896
opcode 1984, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33665
opcode 37, rd 29, rt 29, rn 28, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -4, braddr -99
opcode 1986, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195200
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 1984, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 28, braddr 896
opcode 1984, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 1052, braddr 33665
opcode 580, rd 2, rt 2, rn 1, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr 131041, braddr 20970530
opcode 580, rd 1, rt 1, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778209
opcode 580, rd 3, rt 3, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778211
opcode 37, rd 29, rt 29, rn 30, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr -2, braddr -35
opcode 2045, rd 0, rt 0, rn 0, rm 0, shamt 0, aluimm -2048, dtaddr 0, condaddr -196608, braddr -6291456
opcode 1986, rd 0, rt 0, rn 28, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 131100, braddr 4195200
opcode 1986, rd 1, rt 1, rn 28, rm 0, shamt 32, aluimm 32, dtaddr 8, condaddr 132124, braddr 4227969
opcode 580, rd 2, rt 2, rn 1, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr 131041, braddr 20970530
opcode 580, rd 3, rt 3, rn 1, rm 31, shamt 63, aluimm -1, dtaddr -1, condaddr 131041, braddr 20970531
opcode 580, rd 1, rt 1, rn 31, rm 0, shamt 0, aluimm 0, dtaddr 0, condaddr 31, braddr 16778209
